שם יישוב,סמל יישוב,אזור סטטיסטי 2008,שמות שכונות מרכזיות,שמות רחובות מרכזיים
ירושלים,3000,1344,תלפיות (מערב),"הקצין סילבר, דרך בית לחם, דרך חברון, רבדים, שלום יהודה"
ירושלים,3000,1345,אזור תעשייה ומסחר תלפיות,"איחוד הכפר, דרך בית לחם, האומן, יד חרוצים, רבקה"
ירושלים,3000,1346,מקור חיים,"צרת, אביטל, גנרל קניג פייר, מקור חיים"
ירושלים,3000,1351,מעלות מוריה,"רזיאל דוד, רב החובל, חכים אליהו, אדם, אנוסי משהד"
ירושלים,3000,1352,"מעלות אלרם, תלפיות מזרח (מערב)","גרינשפן הרשל, רזיאל דוד, דרזנר יחיאל, אלקחי מרדכי, קשאני אליעזר"
ירושלים,3000,1353,תלפיות מזרח (דרום),"רובוביץ אלכסנדר, בן יוסף שלמה, ברזני משה, מרזוק משה, פיינשטיין"
ירושלים,3000,1354,תלפיות מזרח (מרכז),"עולי הגרדום, גרונר דב, המחתרות, ברזני משה, בן יוסף שלמה"
ירושלים,3000,1355,תלפיות מזרח (מזרח),"נקר מאיר, עולי הגרדום, חביב אבשלום, אבו רביע, קדושי בבל"
ירושלים,3000,1411,"הגיחון, עיר דוד","דרך השילוח, דרך יריחו, מלכי צדק, מעלה השלום, מעלות עיר דוד"
ירושלים,3000,1412,אבו תור (מערב),"עין רוגל, עמינדב, גיחון, דרך חברון"
ירושלים,3000,1413,אבו תור (מזרח),אין רחובות עם שם באזור זה (אזור אבו תור)
ירושלים,3000,1414,"ג'בל בטן אל הווא, סילוואן (כפר השילוח) - דרום",דרך השילוח
ירושלים,3000,1415,סילואן (כפר השילוח) - צפון,"דרך השילוח, דרך יריחו"
ירושלים,3000,1421,"הר המשחית, כתף הר הזיתים, ראס אל עמוד (דרום)",דרך יריחו
ירושלים,3000,1422,"ואדי קדום, ראס אל עמוד (צפון)",דרך יריחו
ירושלים,3000,1423,"כתף הר הזיתים, ראס אל עמוד (דרום)",אין רחובות עם שם באזור זה (אזור אבו תור)
ירושלים,3000,1424,"ארמון הנציב, ג'בל מוכבר (צפון), סוואחרה אל - ע'רביה (חרבת בית סחור)","על""ר"
ירושלים,3000,1511,ג'בל מוכבר (מרכז),אין רחובות עם שם באזור זה (אזור ג'בל מוכבר)
ירושלים,3000,1512,ג'בל מוכבר (מזרח),אין רחובות עם שם באזור זה (אזור ערב א-סוואחרה)
ירושלים,3000,1513,ערב א - סוואחרה,"אבו רביע, ברזני משה"
ירושלים,3000,1514,אום ליסון,אין רחובות עם שם באזור זה (אזור ערב א-סוואחרה)
ירושלים,3000,1521,צור באהר (דרום),אין רחובות עם שם באזור זה (אזור צור באחר)
ירושלים,3000,1522,צור באהר (צפון),אין רחובות עם שם באזור זה (אזור צור באחר)
ירושלים,3000,1523,אום טובא,
ירושלים,3000,1611,"א זוהור, דיר כרמיזן, וולג'ה (צפון), שרפת","בית גאלה, דיר טנטורה, ביר עונה, שרפת"
ירושלים,3000,1612,בית צפאפה (צפון),"אל קצ'אייל, אלנתר, ברל לוקר, איחוד הכפר, פת יעקב"
ירושלים,3000,1613,בית צפאפה (מזרח),"א נהאדה, מדרסה אל ג'דידה, איחוד הכפר, אל שיפא, א סאפא"
ירושלים,3000,1614,בית צפאפה (דרום),"א סאפא, איחוד הכפר, אל בוטמה, אל קאע, דרך חברון"
ירושלים,3000,1621,גבעת המטוס,גבעת המטוס
ירושלים,3000,1622,"גבעת הארבעה, חומת שמואל (מערב), מנזר מר אליאס","הרב רוזנטל, שד' מאיר שמואל, ליכטנשטיין, דרך חברון, ליפצ'ין סול"
ירושלים,3000,1623,חומת שמואל (מזרח),אין רחובות עם שם באזור זה (מדרום להר חומה)
ירושלים,3000,1631,גילה,"הרוסמרין, ורדינון, הצוף, המור, אפרסמון"
ירושלים,3000,1632,גילה,"הנגבי שבתאי, הרוסמרין, לבונה, שמיר, בן אליעזר אריה"
ירושלים,3000,1633,גילה,"אחלמה, הגננת, הרב אונטרמן, האחות יהודית, השיש"
ירושלים,3000,1634,"גבעת קנדה, גילה","יפה רום, יצהר, הצפורן, צאלים, צביה ויצחק"
ירושלים,3000,1641,גילה,"השליו, לשם, מרגלית, האנפה, אחלמה"
ירושלים,3000,1642,גילה,"החסידה, מרגלית, סנונית, צביה ויצחק, תרשיש"
ירושלים,3000,1643,גילה,"מרגלית, צביה ויצחק, ההרדוף, דגן, אודם"
ירושלים,3000,1644,גילה,"דלה פרגולה, המחנכת, התבלין, ברוכי יהושע"
ירכא,502,1,"אלכרם/אלשואחט, ראס אלמטל",
ירכא,502,2,מרכז הכפר,
ירכא,502,3,"אזור התעשיה, אלחשנה, אלסריסה, אלשכונאת, ג'ורן אלצרצור, משפחת קדמאני",
כוכב יאיר,1224,1,כוכב יאיר (צפון),"דן, ההר, גלעד, גלבוע, שדרות הארץ"
כוכב יאיר,1224,2,כוכב יאיר (דרום),"אגוז, בית אל, גלעד, דרך הפרחים, לב הישוב"
כוכב יאיר,1224,3,צור יגאל (מזרח),"סנונית, קורנית, האילנות, נוף הרים, שורק (צור יגאל)"
כוכב יאיר,1224,4,"אזור תעשייה, צור יגאל (מערב)","אבני חן, האילנות, כרמל, נוף הרים, שד' הדקלים (צור יגאל)"
כפר יונה,168,1,"לב הכפר, שכון ב'","אלפסי, הל""ה, אח""י אילת, עולי הגרדום, רמב""ם"
כפר יונה,168,2,"אלי כהן, גבעת אלונים, המושבה","שד' הדקלים, שד' רבין, ויצמן, העצמאות, שרת"
כפר יונה,168,3,נווה ניצנים,"דן, הברוש, ויצמן, נחל פולג, שרת"
כפר כנא,509,1,"אזור המועצה, אזור התעשייה, אלבסאתין, אלנקארה, ג'פתא, כרם אראס",
כפר כנא,509,2,"אלח'לה, אלח'מריה, אלמחדר, ג'בל ח'ויח'ה, ואדי זיד",
כפר כנא,509,3,"העיר העתיקה (אלבלד), ענטר",
כפר כנא,509,4,"אם דלהם, בית ספר יסודי ג', וערת סעד, כרום אלרישה",
כפר כנא,509,5,"אלמסאלה, אלמשוח, אלעין, פוק אל עין, שכ' בנה ביתך",
כפר מנדא,510,1,"אלמאר, אלעוזיר, זיתון החדשה, זיתון מזרחית, זערורה, טריק עראבה","ספוריה, אבן סינא, אלבסתאן"
כפר מנדא,510,2,"אלמע'ור, אלמעברה, אלנבעה, אלע'רביה",ג'אד זידאן
כפר מנדא,510,3,"אלח'לאילה, אלמג'לס אל קדים, אלמעסרה, אלשאריע אלראיסי, אלתין",אלראזי
כפר מנדא,510,4,"אלבלדה אלקדימה, אלבסאתין, אלחואשנה",אלראזי
כפר סבא,6900,11,"בית ונוף, קפלן","דניאל, המלכים, הנביאים, ישעיהו, תרי עשר"
כפר סבא,6900,12,"גבעת אשכול, הדרים, יוספטל","חטיבת אלכסנדרוני, השקמה, דוד המלך, אשכול לוי, האילנות"
כפר סבא,6900,13,נווה הדרים,"דרך המוביל, דרך הפועל, עמק דותן, עמק החולה, בקעת בית נטופה"
כפר סבא,6900,14,"אזור המלאכה, אזור תעשייה","דרך הפועל, יוחנן הסנדלר, השקמה, בן יהודה, התע""ש"
כפר סבא,6900,15,גני השרון,"בן יהודה, דוכיפת, זמיר, עפרוני, פשוש"
כפר סבא,6900,16,"גני השרון, כפר סבא הצעירה, קפלן","החי""ש, בר אילן, בן יהודה, אז""ר, תל חי"
כפר סבא,6900,21,"אזור מלאכה, שיכון עלייה","בורוכוב, טשרניחובסקי, קפלנסקי, רמז דוד, שד' בגין מנחם"
כפר סבא,6900,22,"בי""ח מאיר, סביוני הכפר, שיכון ותיקים","סירני, שיבת ציון, סנה משה, טשרניחובסקי, רייק חביבה"
כפר סבא,6900,31,מעוז,"לובטקין צביה, חצרות הדר, המעפילים, טשרניחובסקי, כצנלסון ברל"
כפר סבא,6900,32,אליעזר,"כצנלסון ברל, טשרניחובסקי, אז""ר, ז'בוטינסקי, בן יהודה"
כפר סבא,6900,33,קרית ספיר,"כצנלסון ברל, גולומב, המעפילים, ויצמן, טשרניחובסקי"
כפר סבא,6900,34,דגניה,"ששת הימים, יסמין, טשרניחובסקי, דרך השרון, הכלנית"
כפר סבא,6900,35,אין שם שכונה באזור סטטיסטי זה,"אגרון, ששת הימים, ויצמן, גורדון, מעלה האורנים"
כפר סבא,6900,36,אין שם שכונה באזור סטטיסטי זה,"החרמון, התחיה, ויצמן, סוקולוב, מפאי"
כפר סבא,6900,37,אין שם שכונה באזור סטטיסטי זה,"איינשטיין, ארלוזורוב, בן גוריון, סוקולוב, טרומן"
כפר סבא,6900,41,אין שם שכונה באזור סטטיסטי זה,"נחשון, טרומפלדור, בן גוריון, ארלוזורוב, ויצמן"
כפר סבא,6900,42,אין שם שכונה באזור סטטיסטי זה,"הרצל, עמרמי, ביאליק, שרת משה, בן גוריון"
כפר סבא,6900,43,אין שם שכונה באזור סטטיסטי זה,"בן גוריון, תל חי, קרן אברהם, הרצל, הבנים"
כפר סבא,6900,44,תקומה,"רופין, שועלי שמשון, ויצמן, נורדאו, גבורות"
כפר סבא,6900,45,גאולים,"הל""ה, רופין, אלקלעי, הראשונים, נורדאו"
כפר סבא,6900,51,תחנה מרכזית,"תל חי, הגליל, דקל, האתרוג, המיסדים"
כפר סבא,6900,52,אין שם שכונה באזור סטטיסטי זה,"רוטשילד, האלה, ארבל, הכרמל, המיסדים"
כפר סבא,6900,53,משכנות,"השלום, בר אילן, רש""י, השחר, ז'בוטינסקי"
כפר סבא,6900,54,"כיסופים, מוצקין","הגליל, אז""ר, תל חי, המחתרות, טירת צבי"
כפר סבא,6900,55,חצרות הדר (מערב),"שח""ל, קרן היסוד, הגליל, הכרמל, תל חי"
כפר סבא,6900,56,"אלי כהן, חצרות הדר (מזרח)","דיין משה, הר מירון, התותחנים, אז""ר, הר תבור"
כפר קאסם,634,1,"השכ' החדשה, משפחת עיסא",
כפר קאסם,634,2,"הגרעין הישן (עיסא, עמר, בדיר)",
כפר קאסם,634,3,"טאהא, צרצור, שכ' הבדואים המזרחית,  שכ' הבדואים הדרומית",
כפר קאסם,634,4,"כפר קאסם מערב, כפר קאסם צפון",
כפר קרע,654,1,"אלמהד, אלמפאח'ר, דבת אלמוע'ור, ח'לת אלחיזווה, ח'לת אלסקיע, ח'לת זבדה, סטלין, קרית החינוך",
כפר קרע,654,2,"אלבאר, אלביאדר, אלג'ולאן, אלדסת, אלווסיה, אלחווארנה, אלסוואניה, אלעדאסה, אם אלנור, ח'לאיל אלעביד, ט'אהר יאסין, מרכז הכפר",
כפר קרע,654,3,"אלט'הר, אלעירק, אלקבארה, דחדאח אבו מורא, חאקורת אלעסלי, מקטל אבו אללימון, סדר אלערוס, שקיף זאייד",
כפר קרע,654,4,"אלמזע'מתה, אלמטלה, אלמקאייל, אלקטאין, אם סליטי, בין אלדרב, ח'לת שלח, ט'הרת אבו סלימאן, ט'הרת אל סנדחאווי, ט'הרת נח'לה, סדר אבו אחמד, קעקור אלעבסה",
כרמיאל,1139,11,אזור תעשייה,"היוצרים, החרושת, מעלה כמון, מתכת, צור"
כרמיאל,1139,12,המייסדים,"שד' נשיאי ישראל, צה""ל, משעול הסביונים, הגליל, העמק"
כרמיאל,1139,13,אשכול,"החבצלת, נתיב הלוטוס, השושנים, מורד הגיא, אדום החזה"
כרמיאל,1139,14,אין שם שכונה באזור סטטיסטי זה,"הברושים, הדקל, יחיעם, מעלה הכרמים, ארבל"
כרמיאל,1139,21,"טנה, מגדים (מזרח)","משגב, משעול מורן, הארזים, הפסגה, רמים"
כרמיאל,1139,22,"כפר ילדים, מגדים (מערב), שגיא","הדקל, הפסגה, מצפה נוף, רמים, שגיא"
כרמיאל,1139,23,"הדר, הערבה","הפרחים, בירנית, נשיאי ישראל, החבצלת, מורד הגיא"
כרמיאל,1139,24,הגליל,"שדמה, אשכולות, שד' בית הכרם, שד' נשיאי ישראל, שד' קק""ל"
כרמיאל,1139,31,האיריסים,"מורד הגיא, יסמין, אלה, חוחית, משעול דולב"
כרמיאל,1139,32,גבעת מכוש,"שחף, איה, בז, חוחית, נשר"
כרמיאל,1139,33,רמת רבין (מזרח),"חטיבת יפתח, שד' השלום, חטיבת הראל, ההגנה, הפלמח"
כרמיאל,1139,34,רמת רבין (מערב),"שד' השלום, חטיבת יפתח, הפלמח, חטיבת עציוני, מבצע נחשון"
כרמיאל,1139,35,גבעת רם,"שד' קק""ל, אביב, אסיף, ביכורים, בציר"
לוד,7000,11,אזור תעשייה צפון,"בן הורקנוס אליעזר, המחקר, המסגר, לב פסח, סילבר אבא הלל"
לוד,7000,12,"יסמין, נווה ירק","שד' ריסר מיכה, סוקולוב, הרצל, סילבר אבא הלל, החלוץ"
לוד,7000,13,העיר העתיקה (מערב),"כצנלסון, פלומניק יעקב, הרצל, שד' דוד המלך, שלמה המלך"
לוד,7000,14,"העיר העתיקה (מזרח), רמת אשכול (דרום)","טויטו מרדכי, שד' צה""ל, הרצל, הרצוג, החשמונאים"
לוד,7000,15,"רמת אשכול (צפון), שכ' מפונים, שבזי","אקסודוס, החלוץ, סטרומה, פרימן מרדכי וחוה, אלשוילי אבישי"
לוד,7000,21,"משמר נוף, נווה נוף","החשמונאים, הפרחים, סיגלית, פרימן מרדכי וחוה, שפירא חיים משה"
לוד,7000,22,גבעת הזיתים,"סולד, שד' הציונות, גלעד, הנשיא, שפירא חיים משה"
לוד,7000,23,"גני יער, לוד הירוקה","דקר, דרך לוד הירוקה, האיילון, האלה"
לוד,7000,24,"לוד הצעירה, סביוני לוד","גבריאל, הרב חורי חיים, כליל החורש, סן מרטין, שד' דוד המלך"
לוד,7000,25,"בן גוריון, נאות יצחק, נווה אלון","בן אליעזר אריה, שד' בן גוריון, לוזון אפרים, גבריאל, דרך נופי חמד"
לוד,7000,31,"חיסכון ג', נווה זית (צפון)","ז'בוטינסקי, שד' דוד המלך, שד' ירושלים, שלמה המלך, ארלוזורוב"
לוד,7000,32,"נווה זית (דרום), שכ' בנית","שד' ירושלים, ארלוזורוב, ההסתדרות, ז'בוטינסקי, שלמה המלך"
לוד,7000,41,"עמידר, רסקו","חטיבת יפתח, בן חקון, שד' דוד המלך, שלמה המלך, אינשטיין"
לוד,7000,42,"חב''ד, שיכון ממשלתי","אינשטיין, בן חקון, חטיבת יפתח, יוספטל גיורא, שלמה המלך"
לוד,7000,43,"רמט, שרת","חטיבת יפתח, שלמה המלך, שד' דוד המלך, יוספטל גיורא, כהן אלי"
לוד,7000,44,"ורדה (הרכבת), נווה שלום, שכ' סחנה, שניר","מזרחי דוד, עותמן אבן עפאן, צאלח א דין, רבין יצחק, שד' ריסר מיכה"
לוד,7000,51,גני אביב (צפון),"שד' ריסר מיכה, פיקוס, לובלין אהרון, אדמונית, סחלב"
לוד,7000,52,גני אביב (דרום-מזרח),"ארבע העונות, חללי אגוז, לובלין אהרון, צמרות, שד' ריסר מיכה"
לוד,7000,53,גני אביב (דרום-מערב),"רגבים, שד' ריסר מיכה, לובלין אהרון, חללי אגוז, ארבע העונות"
לוד,7000,54,גני אביב (מערב),"זויתן, לובלין אהרון, ליטאני, רגבים, הבשור"
מבשרת ציון,1015,1,"רכס חלילים, שכ' ז', שכ' ח'","ישפה, ענבר, טופז, ברקת, שד' החושן"
מבשרת ציון,1015,2,"מבשרת ירושלים, קרית חינוך, שכ' ג', שכ' ט'","האורן, הברוש, שמעון, השלום, חצב"
מבשרת ציון,1015,3,"שכ' ד', שכ' ה', שכ' ו', שכ' יג'","מירון, כרמל, חרמון, הראל, הדרור"
מבשרת ציון,1015,4,"מרכז קליטה, נוף הרים, קניון הראל, שכ' א', שכ' ב'","הרב ניסים יצחק, הראל, הדרור, שבי ציון, יסמין"
מבשרת ציון,1015,5,"גן לאומי הקסטל, מחצבת אבן סיד, מעוז ציון ב', שכ' י''א","שד' החוצבים, מעלה הקסטל, הבושם, הפלמ""ח, הראשונים"
מבשרת ציון,1015,6,"אזור תעשייה, מוצא הקטנה, מעוז ציון א'","שבע אחיות, האפרסק, הכרמים, מצפה הבירה, שד' החוצבים"
מגאר,481,1,"אזור תעשיה, אלבס, דבת אלזעתר, כביש אבו אלנמל, עין מנסורה ותיקה, ראס אלחביה ושכ' בנה ביתך, שכ' חיילים משוחררים, שכ' מזרחית",
מגאר,481,2,"אלבסבאס, ג'ורת אבו כמרה, השכ' הותיקה, מסגד צפוני ואלרביס",
מגאר,481,3,"בואב אלהוא, זתון אלתין או אלמחאפר, שכ' מערבית",
מגאר,481,4,"בלטאת עד'ימה, חלת אלשריף, שכונה נוצרית/ שכ' דרומית",
מגאר,481,5,"אלמזירה, בקיר, ג'משה, חיילים בדויים, ראס אלחביה",
מגדל העמק,874,1,"חימר, פנחס ספיר","הניצנים, דרך העצמאות, תשי""ג, שד' הבנים, התימורים"
מגדל העמק,874,2,"גן ישראל, שכ' מערבית","רמת יזרעאל, קדש, זבולון, דרך העצמאות, דרך העמק"
מגדל העמק,874,3,"יפה נוף, מגדל אור, מצפה העמק, רמת יזרעאל","רמת יזרעאל, הרב בוסקילה רפאל, הדובדבן, החורש, הגפן"
מגדל העמק,874,4,אזור תעשייה דרום,"המסגר, החרושת, האומן, הצורן, הצורף"
מגדל העמק,874,5,"רמת אשכול, רמת בלפור, רסקו, שלום","דרך חטיבת גולני, קרן היסוד, שד' הבנים, ששת הימים, דרך העמק"
מגדל העמק,874,6,"יסמין, נוף העמק, פנינת העמק, פנינת העמק","שושנת העמקים, היסמין, נוף העמק, שד' הבנים, שד' המדע"
מגדל העמק,874,7,"יערת העמק, קרית חינוך","השיקמה, התדהר, סיני, שד' הבנים, הערבה"
מגדל העמק,874,8,רמת גבריאל (אזור תעשייה צפון),"נחל הצבי, המהנדס, המחקר, התעשיה, שד' המדע"
מגדל העמק,874,9,קרית רבין,"השרון, נחל הצבי"
מודיעין,1200,11,ספדיה (צפון),"עמק דותן, נחל דליה, עמק החולה, נחל בצת, נחל בזק"
מודיעין,1200,12,ספדיה (דרום),"נחל חבר, נחל פארן, נחל צין, נחל שורק, עמק החולה"
מודיעין,1200,13,בוכמן (צפון),"שד' יצחק רבין, נחל זוהר, לוי, נחל חבר, נחל צלמון"
מודיעין,1200,14,מירומי (דרום),"ערער, דם המכבים, שדרות החשמונאים, תלתן"
מודיעין,1200,15,ספדיה (מערב),"כליל החורש, עמק איילון, עמק דותן, מגדל דוד, נחל הירמוך"
מודיעין,1200,16,מירומי (מרכז),"דם המכבים, תלתן, קיפודן, דפנה, לוע הארי"
מודיעין,1200,17,מירומי (מזרח),"כרכום, עמק איילון, צאלון, שומרי החומות, שיר השירים"
מודיעין,1200,21,ציפור,"אדר, עמק האלה, זכריה הנביא, כסלו, סיון"
מודיעין,1200,22,השמשוני (צפון),"דבורה הנביאה, הנביאים, יחזקאל הנביא, עמק בית שאן, עמק האלה"
מודיעין,1200,23,השמשוני (דרום),"רא""ל חיים ברלב, רא""ל מרדכי גור, חטיבת גולני, עמק בית שאן, רא""ל משה דיין"
מודיעין,1200,24,קייזר (צפון),"אבני החושן, יהלום, עמק זבולון, שני, תכלת"
מודיעין,1200,31,קייזר (דרום),
מודיעין,1200,32,"היי פארק מודיעין, שטח N,  שטח P",
מודיעין,1200,33,בוכמן (מרכז),"שבטי ישראל, שד' יצחק רבין, יהודה, יוסף, לוי"
מודיעין,1200,34,בוכמן (דרום),שבטי ישראל
מודיעין,1200,41,רעות (דרום),"שדרת הפרחים, ברקת, הדרים, מבוא רעות, שדרת עומרים (מכבים-רעות)"
מודיעין,1200,42,רעות (צפון),"גליל, שד' אורנים, עצמון, אלה, ערבי נחל (מכבים-רעות)"
מודיעין,1200,43,מכבים,"גדי, יובלים, נוף קדומים, פשוש, רכסים (מכבים-רעות)"
מודיעין עילית,3797,1,גני מודיעין,"הרמב""ם, בן איש חי, טורי זהב, רמ""א, מהרי""ץ"
מודיעין עילית,3797,2,"נאות הפסגה (חפציבה), קרית מלך (מתתיהו מזרח)","חזון אי""ש, אבי עזרי, ריטב""א, קהילות יעקב"
מודיעין עילית,3797,3,קרית דגל התורה,"נתיבות המשפט, מסילת ישרים, דרך קרית ספר"
מודיעין עילית,3797,4,קרית ספר (מזרח ודרום),"חפץ חיים, מסילת יוסף, מסילת ישרים, מרומי שדה, נתיבות המשפט"
מודיעין עילית,3797,5,קרית ספר (מרכז),"שער המלך, שדי חמד, חפץ חיים, אור החיים, אבני נזר"
מודיעין עילית,3797,6,קרית ספר (מערב),"מסילת ישרים, משך חכמה, דרך קרית ספר, אבני נזר, נודע ביהודה"
מודיעין עילית,3797,7,אחוזת ברכפלד (דרום),"שדרות יחזקאל, רבי שמעון בר יוחא, רבי יהודה הנשיא, רב ושמואל, משעול רבי טרפון"
מודיעין עילית,3797,8,אחוזת ברכפלד (צפון),"רבי עקיבא, רב ושמואל, רבי יהודה הנשיא"
מעלה אדומים,3616,1,"אזור תעשייה, מישור אדומים","אוגדה, דרך ימית, חרובית, שד' החברה הכלכלית, שדות"
מעלה אדומים,3616,2,נופי הסלע (דרום),"דרך קדם, הגיר, הצור, הרכס, נופי הסלע"
מעלה אדומים,3616,3,נופי הסלע (צפון),"השיש, השחם, הרכס, החלמיש, הצור"
מעלה אדומים,3616,4,מצפה נבו,"דרך מצפה נבו, הגילגל, הגתית, החצוצרה, המצילתים"
מעלה אדומים,3616,5,כלי שיר,"הקרן, דרך מדבר יהודה, הגתית, החליל, הכינור"
מעלה אדומים,3616,6,הנחלים,"הנחלים, דרך מדבר יהודה, מבוא בורות המים, מבוא הגבים"
מעלה אדומים,3616,7,"אבני החושן, המצדים","דרך הגיא, דרך מדבר יהודה, דרך קדם, המצדים, הנחלים"
מעלה אדומים,3616,8,"מגדים, משואה","דרך הר הבית, דרך הר הצופים, דרך מדבר יהודה, דרך קדם, פרי מגדים"
מעלה אדומים,3616,9,צמח השדה (מערב),"העירית, צמח השדה, הגומא, הערבה, הרותם"
מעלה אדומים,3616,10,צמח השדה (מזרח),"צמח השדה, האלה, האשל, הדקל, השיטה"
מעלה עירון,1327,1,"אבו בכר, אזור התעשייה, דרויש, סביחאת, עיאש, רפאעי (סאלם)",
מעלה עירון,1327,2,"אלמורתפעה, שכ' מזרחית, שכ' מערבית (זלפה)",
מעלה עירון,1327,3,"אגבריה, אלמנשיה, ביאדה, ג'בארין, הכפר הישן (מושירפה), שכ' הורדים (מוסמוס)",
מעלה עירון,1327,4,"אבו שהאב, אגבריה, מוסמוס דרום מזרח, מחאג'נה, שרקאווי (מוסמוס)",
מעלות תרשיחא,1063,1,"גבעת הזיתים, סביונים","ספיר, שוהם, קהילת יהדות צרפת, אודם, שד' הנשיא הרצוג"
מעלות תרשיחא,1063,2,פארק תעשיות קורן,"תעשייה, המסגר, חרושת, שרירא שלמה, תובל"
מעלות תרשיחא,1063,3,"גבעת הרקפות, גבעת רבין","שד' ירושלים, שד' הנשיא הרצוג, דוד המלך, ההגנה, מרווה"
מעלות תרשיחא,1063,4,"בן גוריון, דדו, האילנות, הסיגליות, יפה נוף, כהן","אשכולות, הסיגליות, הרקפת, יקינטון, מ""ג המעפילים"
מעלות תרשיחא,1063,5,"הורדים, הראשונים, הרב קוק, הרצל, מעלה חסון, קרן היסוד","אשכולות, ז'בוטינסקי, מ""ג המעפילים, מעלה הבנים, קרן היסוד"
מעלות תרשיחא,1063,6,תרשיחא,"מעלה אל מג'אהד, מעלה המסגד, אלמותנבי, אלון, מעלה הכרמים"
נהריה,9100,11,קרית גרשון טץ,"היוצרים, שדה יצחק"
נהריה,9100,12,אזור התעשייה,"שדה יצחק, העליה, היוצרים, בורוכוב, דוד בן גאון"
נהריה,9100,13,"נווה אלון, עמידר, רסקו חקלאית","העליה, חניתה, ההגנה, דוד בן גאון, מסריק"
נהריה,9100,14,גבעת טרומפלדור,"החלוץ, החשמונאים, טרומפלדור, יהודה המכבי, תל חי"
נהריה,9100,21,"גבעת כצנלסון, גבעת רגום, גבעת שרת, קרית עשור (צפון), שכ' ממשלתי","דרך העצמאות, דרך יחיעם, הזיתים, קבוץ גלויות, רבי עקיבא"
נהריה,9100,22,"קרית יוספטל, קרית עשור (דרום)","הנגב, עמק יזרעאל, דרך יחיעם, שד' בן צבי, השרון"
נהריה,9100,23,"נווה יצחק רבין, קרית בן גוריון","הגולן, הזמיר, נשר, שד' אשכול, נחליאלי"
נהריה,9100,24,גבעת אוסישקין,"יפה נוף, שלמה המלך, עזרא, המלך דוד, שאול המלך"
נהריה,9100,31,המרכז (צפון),"העליה, חניתה, ויצמן, הרצל, וולפסון"
נהריה,9100,32,"מרכז (א'), קרית חינוך ע""ש רבין","דרך העצמאות, המיסדים, העליה, הרצל, ויצמן"
נהריה,9100,33,המרכז (מרכז ב'),"שד' הגעתון, העליה, הרצל, ויצמן, המיסדים"
נהריה,9100,34,המרכז (דרום),"הרצל, ויצמן, סולד, שד' הגעתון, בלפור"
נהריה,9100,41,אין שם שכונה באזור סטטיסטי זה,"הרצל, קפלן, ויצמן, בלפור, סולד"
נהריה,9100,42,"נווה מנחם בגין, קרית חוף","בלפור, הרצל, סחלב, קפלן, שדרת שז""ר"
נהריה,9100,43,"נאות אלה, עין שרה","הארנון, שקד, שדרת שז""ר, הקישון, הירקון"
נחף,522,1,"אלבלוע וקבור אלנסארה, אלחווז ואלעין, אלמריג', זוגות צעירים",
נחף,522,2,העיר העתיקה,
נחף,522,3,"אלביאדר, אלקובסי, חקל אלעמוד",
נחף,522,4,"חקל אלמע'ארה, כביש ראשי ואלדבה",
נס ציונה,7200,1,"גבעת הצבר, יד אליעזר, סביוני הפארק","אצ""ל, ירושלים, מירון אליהו, מרגולין, הרמן מאיר"
נס ציונה,7200,2,"לב המושבה, סביוני נצר","שמידט ישראל, דוד אלעזר, זאבי רחבעם, קשת, מרגולין"
נס ציונה,7200,3,נווה הדר,"הבנים, זאבי רחבעם, נורדאו, רמב""ם, שד' אפרים"
נס ציונה,7200,4,"נווה כרמית, רמת בן צבי, רמת סמל","ההסתדרות, המאה ואחד, האירוסים, הטייסים, השריון"
נס ציונה,7200,5,"גבעת התור, גבעת מיכאל, גני איריס","דפנה, ההסתדרות, המאה ואחד, התור, לוי משה"
נס ציונה,7200,6,"נווה ניר (צפון), שמורת מליבו","בוקסר אהרון, בגין מנחם, היימן ישראל, לנדו דוד, השריון"
נס ציונה,7200,7,"נווה ניר (דרום), סלע, עמידר, פסגת סלע","ז'בוטינסקי, המנין הראשון, ויצמן, עמק השושנים, רוטשילד"
נס ציונה,7200,8,"גבעת נוף, שיכון הבנים","נורדאו, בן גוריון, הבנים, ההדרים, רמז"
נס ציונה,7200,9,"אזור תעשייה א',  אזור תעשייה ב'","האלופים, החרש, הפטיש, ויצמן, דרך רבין יצחק"
נס ציונה,7200,10,פארק המדע קרית וייצמן,"רמון אילן, אינשטיין, ספיר פנחס, גולדה מאיר"
נס ציונה,7200,11,"טירת שלום, כפר אהרון","התאנה, בן אבי איתמר, בן יהודה אבנר, לחמי שלום, סעדיה נחום"
נצרת,7300,11,"נמסאווי, שיכון אל - גנן","אל-בישארה, 9106, 6010, אניס כרדוש, הגליל"
נצרת,7300,12,שיכון פועלים (מזרח),"4011, דרך א-סלאם, א-שוהדא', ח'אלת עיסא, פאולוס השישי"
נצרת,7300,13,הרובע המזרחי,"פאולוס השישי, 4059, דרך א-סלאם, א-שוהדא', איכסאל"
נצרת,7300,14,אין שם שכונה באזור סטטיסטי זה,"תופיק זיאד, איכסאל, פאולוס השישי, ואדי אל-חאג', 3001"
נצרת,7300,15,ח'אלת א דיר,"פאולוס השישי, 3008, תופיק זיאד, חאלת א-דיר, אבן עאמר"
נצרת,7300,21,"העיר העתיקה (מזרח), הרובע הלטיני","אל-בישארה, 6086, פאולוס השישי, 6133, 6089"
